NAME,DESCRIPTION,ADDRESSSTREETNAME,HYPERLINK,PHOTOURL,URL_PATH,IMAGE_ALT_TEXT,PHOTOCREDITS,LASTMODIFIED,LATITUDE,LONGTITUDE,META_DESCRIPTION,OPENING_HOURS,Lat,Lng,ICON_NAME,ADDRESSPOSTALCODE
Singapore Coins and Notes Museum & Museum Singapore,The rare collection of currencies on display here tells Singapore’s story through the money it has used over the years.,"40 Pagoda Street, Level 1",http://www.singaporecoinsandnotesmuseum.com/index1.php,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-coins-and-notes-museum-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/history-museums/singapore-coins-notes-museum.html,Explore the city of Singapore through its coins and notes over the years at the Singapore Coins and Notes Museum.,Joel Chua DY,2015-10-26T14:00:10.268+08:00,1.28343,103.84452,The Singapore Coins and Notes Museum tells the story of Singapore through the currencies it has used over the years.,"Daily, 10am – 8pm",1.28342999957957,103.844519999757,tourist_spot.gif,NA
Singapore City Gallery,The Singapore City Gallery tells the story of the city’s physical transformation.,"45 Maxwell Road, The URA Centre",http://www.ura.gov.sg/uol/citygallery.aspx,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/singapore-city-gallery-carousel02-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/history-museums/singapore-city-gallery.html,NA,NA,2015-10-26T14:11:48.280+08:00,1.27987,103.84513,The Singapore City Gallery tells the story of the city’s physical transformation.,"Monday to Saturday, 9am – 5pm",1.27986999960572,103.845129999917,tourist_spot.gif,NA
Changi Museum Singapore,Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation.,1000 Upper Changi Road North,http://www.changimuseum.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/changi-museum-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/history-museums/changi-museum.html,Explore our wartime past by learning about the Fall of Singapore and the infamous Changi Prison.,Joel Chua DY,2015-10-26T14:03:31.564+08:00,1.36218,103.97403,Changi Museum provides an emotional exploration of Singapore’s wartime history during the Japanese Occupation.,"Daily, 9:30am – 5pm,(Last admission: 4.30pm)",1.3621800001889,103.974030000359,tourist_spot.gif,NA
MINT Museum of Toys Singapore & Toy Museum,This toy museum will delight both adults and kids with the vast collection of vintage toys and memorabilia from around the world.,26 Seah Street,http://www.emint.com,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/mint-museum-of-toys-carousel02-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/history-museums/mint-musuem-of-toys.html,"More than 50,000 vintage toys from as many as 40 countries are on display at this Singapore toy museum.",NA,2015-10-26T14:08:00.518+08:00,1.29631,103.85439,Singapore's MINT Museum of Toys' vast collection of vintage toys will delight both kids and adults.,"Daily, 9.30am – 6.30pm",1.29631000013178,103.854390000265,tourist_spot.gif,NA
Lim Bo Seng Memorial,This gazetted national monument at Esplanade Park commemorates one of Singapore’s heroes from World War II.,"Esplanade Park, Connaught Drive",http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/lim-bo-seng-memorial-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/memorials/lim-bo-seng-memorial.html,The Lim Bo Seng Memorial commemorates one of Singapore's heroes from World War II.,NA,2015-10-26T15:07:36.240+08:00,1.288483,103.853027,The gazetted Lim Bo Seng Memorial at Esplanade Park commemorates one of Singapore’s heroes from World War II.,Daily,1.28848299967666,103.85302700021,tourist_spot.gif,0
Kranji War Memorial Landmark in Singapore,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,9 Woodlands Road,http://bit.ly/19MZ0SB,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/kranji-war-memorial-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/memorials/kranji-war-memorial.html,"The serene Kranji War Memorial, Singapore is a hillside cemetery set in a quiet neighbourhood.",NA,2015-10-26T15:19:50.818+08:00,1.41903,103.75749,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,"Daily, 8am – 6.30pm",1.41903000036968,103.757489999988,tourist_spot.gif,NA
Indian National Army (INA) Monument in Singapore,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.,Esplanade Park,http://www.nhb.gov.sg/places/historic-sites/indian-national-army-memorial,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/indian-national-army-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/memorials/indian-national-army-monument.html,The Indian National Army Monument tells an intriguing story of Singapore's past.,NA,2015-10-26T15:02:55.258+08:00,1.289954,103.854217,The Indian National Army (INA) Monument at Esplanade Park is a memorial that was built in 1995 to mark the 50th anniversary of the end of World War II.,Daily,1.28995400011131,103.854217000232,tourist_spot.gif,0
Reflections at Bukit Chandu: Singapore War Memorial,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",31-K Pepys Road,http://www.nhb.gov.sg/museums/reflections-at-bukit-chandu,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/reflections-at-bukit-chandu-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/memorials/reflections-at-bukit-chandu.html,Reflections at Bukit Chandu is housed in a lovingly restored colonial bungalow.,Reflections at Bukit Chandu,2015-10-26T14:52:32.405+08:00,1.27954,103.79433,"Reflections at Bukit Chandu relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.","Tuesday to Sunday, 9am – 5.30pm,Closed on Monday (except on public holidays)",1.27953999979126,103.794330000358,tourist_spot.gif,NA
The Cenotaph - a Singapore War Memorial Landmark,This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.,"Esplanade Park, Connaught Drive",http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/cenotaph-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/history/memorials/cenotaph.html,"Surrounded by lush green, The Cenotaph sits at a quiet spot amid the city buzz.",NA,2015-10-26T15:16:16.699+08:00,1.290348,103.8538376,The Cenotaph in Singapore is a war memorial in Esplanade Park that honours the heroes who fought and died during World War I and World War II.,Daily,1.29034799969587,103.853837599664,tourist_spot.gif,0
The Civilian War Memorial park in Singapore,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.",Bras Basah Road & Beach Road intersection,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/civilian-war-memorial,NA,www.yoursingapore.com/en/see-do-singapore/history/memorials/civilian-war-memorial.html,NA,NA,2015-10-26T14:58:00.714+08:00,1.293123,103.854618,The Civilian War Memorial and park in Beach Road commemorates Singapore’s civilian victims of the Japanese Occupation during World War II.,Daily,1.29312299955316,103.854617999804,tourist_spot.gif,NA
Sri Veeramakaliamman Temple: Hindu Temple in Singapore,"Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India.",141 Serangoon Road,http://www.sriveeramakaliamman.com/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-veeramakaliamman-temple-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/sri-veeramakaliamman-temple.html,The Sri Veeramakaliamman Temple is a distinctive landmark in the heart of Little India.,NA,2015-11-02T10:25:02.966+08:00,1.30779,103.85258,"Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India.","Daily, 5.30am – 9.30pm",1.30778999979405,103.852579999889,tourist_spot.gif,NA
Maghain Aboth Synagogue,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.",24/26 Waterloo Street,http://www.singaporejews.com,NA,www.yoursingapore.com/en/see-do-singapore/architecture/historical/maghain-aboth-synagogue.html,NA,NA,2015-11-02T10:18:20.061+08:00,1.29821,103.85081,The simple exterior of the Maghain Aboth Synagogue gives no indication of its richly elegant interiors.,"Visits are available only by appointment. For more information, email jewishwb@singnet.com.sg or call +65 6337 2189 (ext. 103)",1.29821000027423,103.850809999711,tourist_spot.gif,NA
Sultan Mosque (Masjid Sultan) Singapore,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singapore’s Muslim community.",3 Muscat Street,http://www.sultanmosque.org.sg,NA,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/sultan-mosque.html,NA,NA,2015-11-02T10:27:45.190+08:00,1.302379,103.859171,The impressive Sultan Mosque (also known as Masjid Sultan) in historic Kampong Glam is the focal point for Singapore’s Muslim community.,"Monday to Sunday:9.30am – 12pm and 2pm – 4pm ,Friday:2.30pm – 4pm",1.30237899977357,103.859170999653,tourist_spot.gif,NA
Sri Mariamman Temple: Hindu Temple in Singapore,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.",244 South Bridge Road,http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/sri-mariamman-temple-carousel02-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/sri-mariamman-temple.html,Sri Mariamman Temple's ornate and elaborate detailing makes it a wonder to behold.,Joel Chua DY,2015-11-02T10:31:58.848+08:00,1.28243,103.84538,"Sri Mariamman Temple, located in Chinatown, is the oldest Hindu temple in Singapore.","Daily from 7am – 12pm, and 6pm – 9pm",1.28242999958171,103.845380000402,tourist_spot.gif,NA
Armenian Church in Singapore,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.,60 Hill Street,http://www.armeniansinasia.org/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/armenian-church-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/armenian-church.html,The Armenian Church in Singapore is a 19th-century architectural masterpiece.,Joel Chua DY,2015-11-02T10:34:55.710+08:00,1.29293,103.84966,The Armenian Church is the oldest Christian church in Singapore and an architectural masterpiece from the early 19th century.,"Daily, 9am –6pm",1.29292999984543,103.849659999877,tourist_spot.gif,NA
CHIJMES Singapore,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.",30 Victoria Street,http://chijmes.com.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/chijmes-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/historical/chijmes.html,"The charm of CHIJMES, Singapore harks back to a bygone, gracious age.",NA,2015-11-02T10:13:35.220+08:00,1.29526,103.85168,"Who would have thought a former school would make such a graceful transition? As a lifestyle and entertainment complex, CHIJMES soars high above the rest.","Daily, 24 hours,Opening hours of businesses in CHIJMES may vary.",1.2952599995708,103.851680000315,tourist_spot.gif,NA
St Andrew’s Cathedral- Singapore Architecture Landmark,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.,11 St Andrew's Road,http://www.livingstreams.org.sg/sac/visitors.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/st-andrews-cathedral-temple-carousel01-rect-norender.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/st-andrews-cathedral.html,Singapore's largest cathedral is worth a visit for its architectural beauty.,Saint Andrew's Cathedral,2015-11-02T10:22:49.830+08:00,1.29249,103.85231,St Andrew's Cathedral is Singapore's largest cathedral and a stellar example of colonial-era architecture and heritage.,"Monday to Saturday, 9am – 5pm",1.29248999968759,103.852309999652,tourist_spot.gif,NA
ArtScience Museum Singapore,Catch world-class touring exhibitions at this premier exhibition space.,6 Bayfront Ave,http://www.marinabaysands.com/museum.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/art-science-musuem-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/artscience-museum.html,The ArtScience Museum in Singapore hosts a variety of international touring exhibitions.,Vincent Chong,2015-11-02T18:21:50.005+08:00,1.28624,103.85929,Catch world-class touring exhibitions at the ArtScience Museum at Marina Bay Sands.,"Daily, 10am – 7pm, Last admission at 6pm",1.28624000003361,103.859289999805,tourist_spot.gif,NA
SAM at 8Q & Singapore Art Museum,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.",8 Queen Street,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/8q-sam-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/8q-sam.html,SAM at 8Q is the funkier sister of the Singapore Art Museum.,8Q at SAM,2015-11-02T18:22:04.494+08:00,1.29731,103.85168,SAM at 8Q at the Singapore Art Museum showcases the works of Singapore contemporary artists.,"Monday to Thursday, 10am – 7pm, Friday, 10am – 9pm",1.29731000009506,103.851679999795,tourist_spot.gif,NA
Cruises from Singapore,"Watch the Singapore skyline disappear from view as you sail away into the horizon. As the gateway to Southeast Asia and the world, Singapore is the choice homeport of numerous cruise lines.",NA,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/beyond-singapore/beyond-singapore-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/beyond-singapore.html,NA,NA,2015-11-03T14:54:39.639+08:00,NA,NA,"Take these luxurious cruise liners from Singapore and visit lush tropical rainforests, colourful open air markets, mystifying ancient cities and white sand beaches.",NA,0,0,tourist_spot.gif,0
Jamae Mosque (Masjid Chulia) Singapore,"Also known as Masjid Chulia, Jamae Mosque is one of Singapore’s oldest mosques and a prominent landmark in Chinatown since the 1820s.",218 South Bridge Road,http://www.masjidjamaechulia.sg/,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/jamae-mosque-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/culture-heritage/places-of-worship/jamae-mosque.html,The Jamae Mosque in Singapore is one of the oldest mosques in Singapore.,NA,2015-11-03T10:25:29.354+08:00,1.28311,103.84554,Jamae Mosque (or Masjid Chulia) is one of Singapore’s oldest mosques and a prominent landmark in Chinatown since the 1820s.,Daily,1.28310999983478,103.845540000143,tourist_spot.gif,NA
Institute of Contemporary Arts Singapore,This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art.,"LASALLE College of the Arts, 1 McNally Street",https://www.lasalle.edu.sg/ICAS/About-ICAS,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/institute-for-contemporary-art-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/arts/performance-arts/institute-of-contemporary-arts.html,"Be inspired by the architecture and creativity at the Institute of Contemporary Arts, Singapore.",NA,2015-11-03T14:00:10.125+08:00,1.3029,103.8516,"Housed in a tertiary arts college, the Institute of Contemporary Arts Singapore will help you deepen your appreciation for experimental artworks.","Tuesday to Sunday, 12pm - 7pm, Closed on Monday and public holidays",1.30290000041802,103.851600000365,tourist_spot.gif,NA
Singapore Flyer,"This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day.",30 Raffles Avenue,http://www.singaporeflyer.com,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/singapore-flyer-carousel01-rect-norender.jpg,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/viewpoints/singapore-flyer.html,Marvel at spectacular panoramas of the city skyline from the Singapore Flyer.,Singapore Flyer,2015-11-03T17:55:41.364+08:00,1.289299,103.863137,"The Singapore Flyer not only offers you stunning views of the city, but is one of the city’s most recognisable architectural icons.","Daily, 8.30am - 10.30pm, (last admission: 10.15pm)",1.28929899960159,103.863136999855,tourist_spot.gif,NA
Marina Bay Sands®,"A feat of engineering, an architectural statement and a sheer aesthetic triumph, Marina Bay Sands<sup>®</sup> has upped the ante for buildings in Singapore.",10 Bayfront Avenue,http://www.marinabaysands.com,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/marina-bay-sands-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/marina-bay-sands.html,The breathtaking Marina Bay Sands is a sheer modern architectural triumph.,NA,2015-11-02T09:44:49.007+08:00,1.283456,103.86081,"Superlatives naturally spring to mind when beholding Marina Bay Sands®. Its bold, swooping curves, steep slopes, and soaring spaces defy gravity and evoke awe.","SkyPark<sup® Operating Hours - Monday to Thursday, 9:30am – 10pm, Friday to Sunday, 9:30am – 11pm, Shoppes Daily, 10am – 10pm (hours vary by store)",1.28345600006136,103.860809999759,tourist_spot.gif,NA
Marina Barrage,This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.,8 Marina Gardens Drive,https://www.pub.gov.sg/marinabarrage,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/marina-barrage-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/marina-barrage.html,"More than just an ordinary dam, the Marina Barrage is an ideal recreational space.",Public Utilities Board,2015-11-02T09:24:23.885+08:00,1.28063,103.87159,The Marina Barrage not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.,"Marina Barrage - All day  Information Counter Daily, 9am – 9pm",1.28063000032856,103.871590000386,tourist_spot.gif,NA
Henderson Waves Bridge,Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge.,Henderson Road,http://www.nparks.gov.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/henderson-waves-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/architecture/modern/henderson-waves.html,"Explore some of the city’s best parks and trails, such as the Southern Ridges Walk.",Andrew Tan,2015-11-02T09:47:06.929+08:00,1.2762425,103.8152539,"With the Henderson Waves bridge, form meets function to stunning effect.","Daily, 24 hours",1.27624249994512,103.815253900218,tourist_spot.gif,0
Labrador Nature Reserve,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.",Labrador Villa Road,http://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide&task=naturereserves&id=48,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/labrador-nature-reserve-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/reserves/labrador-nature-reserve.html,Labrador Nature Reserve in Singapore is a beautiful park that is rich with biodiversity.,National Parks Board,2015-03-30T12:57:27.648+08:00,1.265833,103.801944,"With its rich biodiversity and war relics, nature lovers and history enthusiasts will find plenty to do at Labrador Nature Reserve.",NA,1.26583300032741,103.801943999568,tourist_spot.gif,NA
Marina Bay Singapore: Attractions & Things to do,"Marina Bay represents all things modern and super-stylish, from trendy dining destinations to exciting leisure spots.",11 Marina Boulevard,http://www.marina-bay.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/marina-bay-area-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/places-to-see/marina-bay-area.html,Marina Bay Sands® is an integrated resort with experiences like no other.,NA,2015-07-23T09:42:57.583+08:00,1.2802848,103.856454,"Marina Bay represents all things modern and super-stylish in Singapore, from trendy dining destinations to fun leisure spots.",NA,1.280284800323,103.856454000152,tourist_spot.gif,NA
"Marina Bay Sands, Singapore","This iconic integrated resort boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.",10 Bayfront Avenue,http://www.marinabaysands.com/index.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/marina-bay-sands-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/resorts/marina-bay-sands.html,NA,NA,2015-09-01T15:35:42.052+08:00,1.2838785,103.85899,"Marina Bay Sands® boasts luxury accommodations, upscale shopping and an infinity pool with unparalleled views of the city.",Opening hours varies. Please visit the official website for more information.,1.28387850035038,103.858990000433,tourist_spot.gif,NA
Chek Jawa,"A world away from shopping malls and glitzy hotels, this natural wonder is one of Singapore’s richest eco-systems.","Chek Jawa, Pulau Ubin",https://www.nparks.gov.sg/gardens-parks-and-nature/parks-and-nature-reserves/pulau-ubin-and-chek-jawa/what-to-see/about-chek-jawa,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/chek-jawa-carousel03-rect-norender.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/reserves/chek-jawa.html,Bird lovers can spot rare species from a 21-metre tall viewing tower at Chek Jawa.,National Parks Board,2015-09-07T14:06:03.482+08:00,1.407866,103.96371,"A world away from shopping malls and glitzy hotels, the natural wonder of Chek Jawa is one of Singapore’s richest eco-systems.",NA,1.40786599955602,103.963709999858,tourist_spot.gif,0
"Merlion Park, Singapore: Attractions & Things to Do","Half-fish and half-lion, the iconic Merlion resides at the waterfront Merlion Park.",One Fullerton,NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/merlion-park-skypark-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/viewpoints/merlion-park.html,Come and see the Singapore icon that is half-fish and half-lion at the Merlion Park.,NA,2015-10-06T17:28:25.792+08:00,1.286862,103.854552,"Merlion Park houses a Singapore icon that is half-fish and half-lion, and famous throughout the world.",NA,1.28686200021791,103.85455200031,tourist_spot.gif,NA
Marina Bay Sands® SkyPark,"The Marina Bay Sands<sup>®</sup> SkyPark is a roof like no other, perched 200 metres in the air with an infinity pool and observation deck in the clouds.","Level 57, 10 Bayfront Avenue",http://www.marinabaysands.com/sands-skypark.html,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/marina-bay-sands-skypark-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/viewpoints/marina-bay-sands-skypark.html,Take in stunning views from an infinity pool and observation deck in the clouds at the Marina Bay Sands SkyPark.,Andrew Tan,2015-09-28T18:27:45.210+08:00,1.283456,103.86081,"The Marina Bay Sands<sup>®</sup> SkyPark is a roof like no other, perched 200 metres in the air with an infinity pool and observation deck in the clouds.","Monday to Thursday, 9.30am - 10pm.Friday to Sunday, 9.30am - 11pm",1.28345600006136,103.860809999759,tourist_spot.gif,NA
"Resorts World Sentosa, Singapore",Experience endless excitement at Resorts World Sentosa with a variety of attractions and entertainment hot spots.,"8 Sentosa Gateway, Sentosa Island",http://www.rwsentosa.com,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/resorts-world-sentosa-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/recreation-leisure/resorts/resorts-world-sentosa.html,"From world-class theme parks to celebrity restaurants, Resorts World Sentosa has it all.",Resort World Sentosa,2015-09-28T18:21:18.109+08:00,1.25675,103.82033,"Whether it’s themes parks, world-class performances or celebrity restaurants, you’ll never run out of things to do at Resorts World™ Sentosa.",Opening hours differ for the various attractions.,1.25675000007093,103.820329999875,tourist_spot.gif,NA
Singapore Garden & Singapore Park,This 10-km stretch of connecting trails lets you walk among the trees to observe a wide variety of flora and fauna in their natural habitat.,"Henderson Road, Mount Faber Park, Telok Blangah Hill Park",NA,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/resorts-world-sentosa-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/the-southern-ridges.html,"From world-class theme parks to celebrity restaurants, Resorts World Sentosa has it all.",Resort World Sentosa,2015-09-09T09:59:33.518+08:00,1.280569,103.817589,The Southern Ridges is a 10-km stretch of connecting trails which lets you walk among the trees to observe a wide variety of flora and fauna in their natural habitat.,NA,1.2805689998981,103.817588999903,tourist_spot.gif,NA
Sungei Buloh,This ecological wonder will transport you into a world rich in animal and plant life.,301 Neo Tiew Crescent,https://www.nparks.gov.sg/sbwr,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/the-southern-ridges-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/reserves/sungei-buloh-wetland-reserve.html,Get up close with a wide variety of flora and fauna in their natural habitat at this Singapore Garden.,National Parks Board,2015-10-02T15:32:19.572+08:00,1.44672,103.730149,The ecological wonder of Sungei Buloh will transport you into a world rich in animal and plant life.,NA,1.44672000006097,103.730149000125,tourist_spot.gif,NA
S.E.A. Aquarium,"Immerse yourself underwater at the S.E.A. Aquarium™ and discover more than 100,000 marine animals.","8 Sentosa Gateway, Sentosa Island",http://www.rwsentosa.com/language/en-US/Homepage/Attractions/MarineLifePark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/sungei-buloh-wetland-reserve-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/fun-with-animals/sea-aquarium.html,Explore a world rich with animal and plant life at the Sungei Buloh Wetland Reserve.,NA,2015-10-02T15:23:07.822+08:00,1.2573549,103.8194932,Immerse yourself underwater at the S.E.A. Aquarium™ and take a look into the planet’s largest window to the ocean.,Open daily at 10am.Closing time varies. Please visit the official website for more information.,1.25735490022345,103.819493200237,tourist_spot.gif,NA
Singapore Botanic Gardens,"Singapore’s oldest garden is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.",1 Cluny Road,http://www.sbg.org.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-botanic-gardens-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/parks-gardens/singapore-botanic-gardens.html,NA,NA,2015-10-02T15:27:52.272+08:00,1.31384,103.815914,"Singapore’s Botanic Gardens is a treasure trove for plant lovers, or those who simply want to have a good time outdoors.","Singapore Botanic Gardens Daily, 5am - 12am National Orchid Garden Daily, 8.30am - 7pm(last ticket sales at 6pm)Jacob Ballas Children's Garden Tuesday to Sunday, 8am - 7pm(last admission: 6.30pm)Closed every Monday (except when it falls on a designated public holiday)SBG Heritage MuseumDaily*, 9am - 6pm*Closed every last Monday of the month (except when it falls on a designated public holiday, it will be closed the following day)",1.3138400004264,103.815913999691,tourist_spot.gif,NA
Singapore Zoo: Attractions & Things to Do,"Singapore’s zoo is a beautiful, award-winning wildlife park, where animals can roam freely in their natural habitats.",80 Mandai Lake Road,http://www.zoo.com.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/singapore-zoo-carousel04-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/fun-with-animals/singapore-zoo.html,The award-winning Singapore Zoo lets you see your favourite animals in all their natural wonder.,Wildlife Reserves Singapore,2015-09-22T09:45:21.173+08:00,1.404348,103.793023,Catch animals in their natural habitats at the award-winning Singapore Zoo.,"Daily, 8.30am – 6pm(last ticket sale at 5.30pm)",1.40434800015674,103.793023000234,tourist_spot.gif,NA
River Safari Singapore,"At the River Safari Singapore, meet manatees and monkeys, piranhas and pandas, as they congregate in and around the park’s waters.",80 Mandai Lake Road,http://www.riversafari.com.sg,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/river-safari-singapore-carousel01-rect.jpg,www.yoursingapore.com/en/see-do-singapore/nature-wildlife/fun-with-animals/river-safari-singapore.html,"Meet manatees, monkeys and more as you ride the world's rivers at River Safari, Singapore.",NA,2015-09-22T10:33:35.047+08:00,1.403732,103.789423,The River Safari Singapore is a fascinating new wildlife park that recreates life in and around the world’s rivers.,"Daily, 10am - 7pm",1.40373199986996,103.789423000127,tourist_spot.gif,NA
